,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'baby'}),frozenset({'bed_bath_table'}),0.02966397960023032,0.09682693098626306,0.00017479641358887884,0.0058925476603119585,0.06085649519499839,-0.002697475691940538,0.9085266053363428
1,frozenset({'bed_bath_table'}),frozenset({'baby'}),0.09682693098626306,0.02966397960023032,0.00017479641358887884,0.0018052458320059466,0.06085649519499838,-0.002697475691940538,0.9720908834153862
2,frozenset({'cool_stuff'}),frozenset({'baby'}),0.03734473965616517,0.02966397960023032,0.00020564283951632803,0.005506607929515418,0.18563281136670762,-0.000902150755820068,0.9757088665813852
3,frozenset({'baby'}),frozenset({'cool_stuff'}),0.02966397960023032,0.03734473965616517,0.00020564283951632803,0.006932409012131715,0.18563281136670762,-0.000902150755820068,0.9693753668732857
4,frozenset({'baby'}),frozenset({'furniture_decor'}),0.02966397960023032,0.06630953360203998,0.0001233857037097968,0.004159445407279029,0.06272771321605354,-0.0018436189483619042,0.9375903221573668
5,frozenset({'furniture_decor'}),frozenset({'baby'}),0.06630953360203998,0.02966397960023032,0.0001233857037097968,0.0018607536052101098,0.06272771321605353,-0.0018436189483619042,0.9721449426065114
6,frozenset({'baby'}),frozenset({'toys'}),0.02966397960023032,0.03995640371802254,0.00019536069754051165,0.006585788561525131,0.16482435726703246,-0.000989905247249476,0.9664081560619348
7,frozenset({'toys'}),frozenset({'baby'}),0.03995640371802254,0.02966397960023032,0.00019536069754051165,0.004889346371590325,0.16482435726703246,-0.000989905247249476,0.9751036398431613
8,frozenset({'cool_stuff'}),frozenset({'bed_bath_table'}),0.03734473965616517,0.09682693098626306,0.00010282141975816402,0.002753303964757709,0.028435311712485475,-0.0035131551096293026,0.9056666445769996
9,frozenset({'bed_bath_table'}),frozenset({'cool_stuff'}),0.09682693098626306,0.03734473965616517,0.00010282141975816402,0.0010619093129446745,0.028435311712485478,-0.0035131551096293026,0.9636785996234605
10,frozenset({'bed_bath_table'}),frozenset({'furniture_decor'}),0.09682693098626306,0.06630953360203998,0.0007197499383071481,0.007433365190612721,0.1121010024776292,-0.0057007986955088675,0.9406829059665764
11,frozenset({'furniture_decor'}),frozenset({'bed_bath_table'}),0.06630953360203998,0.09682693098626306,0.0007197499383071481,0.010854396030392309,0.11210100247762922,-0.0057007986955088675,0.9130840448455227
12,frozenset({'health_beauty'}),frozenset({'bed_bath_table'}),0.09085300649831372,0.09682693098626306,0.00011310356173398042,0.001244907197827071,0.012857034557913307,-0.008683914228372752,0.9042988371450855
13,frozenset({'bed_bath_table'}),frozenset({'health_beauty'}),0.09682693098626306,0.09085300649831372,0.00011310356173398042,0.001168100244239142,0.012857034557913309,-0.008683914228372752,0.9102102102706123
14,frozenset({'home_confort'}),frozenset({'bed_bath_table'}),0.004082010364399111,0.09682693098626306,0.0004421321049601053,0.10831234256926954,1.1186179450904616,4.688356912122205e-05,1.0128805321990215
15,frozenset({'bed_bath_table'}),frozenset({'home_confort'}),0.09682693098626306,0.004082010364399111,0.0004421321049601053,0.0045662100456621,1.1186179450904616,4.688356912122205e-05,1.0004864207807183
16,frozenset({'bed_bath_table'}),frozenset({'housewares'}),0.09682693098626306,0.06050012338570371,0.00020564283951632803,0.002123818625889349,0.03510436850433286,-0.005652398432211605,0.9414994506839235
17,frozenset({'housewares'}),frozenset({'bed_bath_table'}),0.06050012338570371,0.09682693098626306,0.00020564283951632803,0.003399048266485384,0.03510436850433286,-0.005652398432211605,0.9062534682941386
18,frozenset({'books_imported'}),frozenset({'books'}),0.0005449535247182693,0.003218310438430534,0.0005449535247182693,1.0,310.7220447284345,0.000543199695101209,inf
19,frozenset({'books'}),frozenset({'books_imported'}),0.003218310438430534,0.0005449535247182693,0.0005449535247182693,0.16932907348242812,310.7220447284345,0.000543199695101209,1.2031901136413967
20,frozenset({'books'}),frozenset({'books_technical'}),0.003218310438430534,0.0026733569137122647,0.0026733569137122647,0.8306709265175719,310.72204472843447,0.002664753221251214,5.889872439358643
21,frozenset({'books_technical'}),frozenset({'books'}),0.0026733569137122647,0.003218310438430534,0.0026733569137122647,1.0,310.7220447284345,0.002664753221251214,inf
22,frozenset({'construction_tools_lights'}),frozenset({'furniture_decor'}),0.002508842642099202,0.06630953360203998,0.00011310356173398042,0.04508196721311475,0.6798715774970829,-5.3256623744527375e-05,0.9777702738244732
23,frozenset({'furniture_decor'}),frozenset({'construction_tools_lights'}),0.06630953360203998,0.002508842642099202,0.00011310356173398042,0.0017056908047759342,0.679871577497083,-5.3256623744527375e-05,0.9991954758933057
24,frozenset({'garden_tools'}),frozenset({'furniture_decor'}),0.036172575470922105,0.06630953360203998,0.00017479641358887884,0.004832291074474132,0.07287475589068944,-0.0022237901950725573,0.9382242390140028
